season,week,team_id,player_id,player_name,position,lineup_slot_id,lineup_slot,is_starter,points
2022,2,11,3929630,Saquon Barkley,RB,2,RB,True,11.799999999999999
2022,2,11,4038941,Justin Herbert,QB,0,QB,True,29.46
2022,2,11,4360438,Brandon Aiyuk,WR,20,BE,False,11.3
2022,2,11,3117256,Dalton Schultz,TE,6,TE,True,1.8
2022,2,11,2577327,Tyler Lockett,WR,4,WR,True,19.700000000000003
2022,2,11,14880,Kirk Cousins,QB,20,BE,False,10.84
2022,2,11,3916148,Tony Pollard,RB,20,BE,False,19.8
2022,2,11,15795,DeAndre Hopkins,WR,20,BE,False,0.0
2022,2,11,3139925,Rashaad Penny,RB,23,FLEX,True,1.5
2022,2,11,4046692,Chase Claypool,WR,4,WR,True,6.6
2022,2,11,-16027,Buccaneers D/ST,D/ST,16,D/ST,True,25.0
2022,2,11,3051909,Daniel Carlson,K,17,K,True,13.0
2022,2,11,4036131,Noah Fant,TE,20,BE,False,3.1
2022,2,11,13982,Julio Jones,WR,20,BE,False,0.0
2022,2,11,2580216,DeAndre Carter,WR,23,FLEX,True,8.5
2022,2,6,3116406,Tyreek Hill,WR,4,WR,True,46.0
2022,2,6,3916387,Lamar Jackson,QB,0,QB,True,54.62
2022,2,6,3126486,Deebo Samuel,WR,4,WR,True,14.700000000000001
2022,2,6,4569173,Rhamondre Stevenson,RB,2,RB,True,6.1000000000000005
2022,2,6,3040151,George Kittle,TE,20,BE,False,0.0
2022,2,6,3135321,Hunter Renfrow,WR,20,BE,False,10.9
2022,2,6,4374302,Amon-Ra St. Brown,WR,23,FLEX,True,39.400000000000006
2022,2,6,3932905,Diontae Johnson,WR,23,FLEX,True,13.7
2022,2,6,4360294,Antonio Gibson,RB,2,RB,True,12.100000000000001
2022,2,6,-16002,Bills D/ST,D/ST,16,D/ST,True,23.0
2022,2,6,3916430,Nyheim Hines,RB,20,BE,False,7.7
2022,2,6,4360310,Trevor Lawrence,QB,20,BE,False,22.5
2022,2,6,4039050,Devin Duvernay,WR,20,BE,False,12.2
2022,2,6,3126246,Dontrell Hilliard,RB,20,BE,False,0.0
2022,2,6,3050478,Jake Elliott,K,17,K,True,5.0
2022,2,6,16813,Logan Thomas,TE,6,TE,True,12.7
2022,2,4,4241457,Najee Harris,RB,23,FLEX,True,13.9
2022,2,4,3128720,Nick Chubb,RB,2,RB,True,32.300000000000004
2022,2,4,15818,Keenan Allen,WR,20,BE,False,0.0
2022,2,4,4372016,Jaylen Waddle,WR,4,WR,True,40.1
2022,2,4,4241479,Tua Tagovailoa,QB,0,QB,True,56.86
2022,2,4,3930086,Dawson Knox,TE,6,TE,True,8.100000000000001
2022,2,4,3119195,Chase Edmonds,RB,2,RB,True,5.1000000000000005
2022,2,4,4372414,Elijah Moore,WR,23,FLEX,True,6.5
2022,2,4,4241478,DeVonta Smith,WR,4,WR,True,15.0
2022,2,4,3128390,Allen Lazard,WR,20,BE,False,9.3
2022,2,4,2969939,Jameis Winston,QB,20,BE,False,9.639999999999999
2022,2,4,10621,Nick Folk,K,17,K,True,4.0
2022,2,4,4035886,Khalil Herbert,RB,20,BE,False,5.1000000000000005
2022,2,4,15072,Marvin Jones Jr.,WR,20,BE,False,6.300000000000001
2022,2,4,17359,Damien Williams,RB,21,IR,False,0.0
2022,2,4,-16004,Bengals D/ST,D/ST,16,D/ST,True,3.0
2022,2,1,3045147,James Conner,RB,2,RB,True,7.1
2022,2,1,16800,Davante Adams,WR,4,WR,True,9.2
2022,2,1,4239993,Tee Higgins,WR,23,FLEX,True,19.1
2022,2,1,4240021,Cam Akers,RB,20,BE,False,8.200000000000001
2022,2,1,3121422,Terry McLaurin,WR,4,WR,True,12.2
2022,2,1,3915511,Joe Burrow,QB,0,QB,True,18.560000000000002
2022,2,1,4241985,J.K. Dobbins,RB,20,BE,False,0.0
2022,2,1,16757,Derek Carr,QB,20,BE,False,22.98
2022,2,1,2573401,Tyler Higbee,TE,20,BE,False,14.100000000000001
2022,2,1,4567156,Treylon Burks,WR,20,BE,False,8.7
2022,2,1,4039359,Darrell Henderson Jr.,RB,2,RB,True,10.7
2022,2,1,4035004,Mecole Hardman,WR,23,FLEX,True,7.5
2022,2,1,16733,Odell Beckham Jr.,WR,20,BE,False,0.0
2022,2,1,-16014,Rams D/ST,D/ST,16,D/ST,True,11.0
2022,2,1,12731,Ryan Succop,K,17,K,True,10.0
2022,2,1,2468609,Taysom Hill,TE,6,TE,True,1.4000000000000001
2022,3,12,4242335,Jonathan Taylor,RB,2,RB,True,12.100000000000001
2022,3,12,4262921,Justin Jefferson,WR,4,WR,True,4.4
2022,3,12,3115364,Leonard Fournette,RB,2,RB,True,12.0
2022,3,12,4241463,Jerry Jeudy,WR,23,FLEX,True,3.7
