season,team_id,week,actual_points,optimal_points,points_left_on_bench,efficiency_pct,team_name
2023,5,10,125.86000000000001,135.46,9.599999999999994,92.9,One-cut Heroes
2023,6,10,147.11999999999998,155.17999999999998,8.060000000000002,94.8,Whos Yurdatty
2023,7,10,74.10000000000001,88.86000000000001,14.760000000000005,83.4,Put it Justin??
2023,8,10,161.51999999999998,207.52,46.00000000000003,77.8,False Shart
2023,9,10,131.18,149.64000000000001,18.460000000000008,87.7,Olivas - Alone
2023,10,10,164.08,167.98,3.8999999999999773,97.7,Team Clucker Fuckers
2023,11,10,178.52,199.22000000000003,20.700000000000017,89.6,Seattle  Ricks 
2023,12,10,108.04,121.33999999999999,13.299999999999983,89.0,El Ultimo Hombre
2023,1,11,139.07999999999998,144.48000000000002,5.400000000000034,96.3,MaChungus
2023,2,11,130.3,137.05999999999997,6.7599999999999625,95.1,Show Me Dem TDs
2023,3,11,94.56,108.66000000000001,14.100000000000009,87.0,Kareemin' My Jeans
2023,4,11,142.9,153.76000000000002,10.860000000000014,92.9,Greendale Human Beings
2023,5,11,144.8,171.28000000000003,26.480000000000018,84.5,One-cut Heroes
2023,6,11,96.53999999999999,109.04,12.500000000000014,88.5,Whos Yurdatty
2023,7,11,119.58000000000001,133.08,13.5,89.9,Put it Justin??
2023,8,11,126.84,150.14000000000001,23.30000000000001,84.5,False Shart
2023,9,11,167.72,168.72000000000003,1.0000000000000284,99.4,Olivas - Alone
2023,10,11,106.54,110.54,4.0,96.4,Team Clucker Fuckers
2023,11,11,127.60000000000001,132.3,4.700000000000003,96.4,Seattle  Ricks 
2023,12,11,128.64,147.06000000000003,18.420000000000044,87.5,El Ultimo Hombre
2023,1,12,173.22,182.12,8.900000000000006,95.1,MaChungus
2023,2,12,117.7,124.99999999999999,7.299999999999983,94.2,Show Me Dem TDs
2023,3,12,111.07999999999998,126.96000000000001,15.880000000000024,87.5,Kareemin' My Jeans
2023,4,12,136.07999999999998,157.28,21.200000000000017,86.5,Greendale Human Beings
2023,5,12,138.96,151.32000000000002,12.360000000000014,91.8,One-cut Heroes
2023,6,12,148.68,180.08,31.400000000000006,82.6,Whos Yurdatty
2023,7,12,98.86,106.36,7.5,92.9,Put it Justin??
2023,8,12,108.10000000000001,165.46,57.36,65.3,False Shart
2023,9,12,98.76,150.76,51.999999999999986,65.5,Olivas - Alone
2023,10,12,141.54,160.04000000000002,18.50000000000003,88.4,Team Clucker Fuckers
2023,11,12,156.18,163.18,7.0,95.7,Seattle  Ricks 
2023,12,12,153.56,163.06,9.5,94.2,El Ultimo Hombre
